# epoch | BaseLoss | ValLoss | Acc@1 | MeanWBits | MeanABits | MaxWBits | MaxABits | LR | EpochTime(s)
    99 | base=0.569986 | val=0.548705 | acc1=0.8256 | Wμ=1.102 | Aμ=2.886 | Wmax=2.000 | Amax=3.459 |LR=0.002 | t=9.00s
   101 | base=0.512681 | val=1.338467 | acc1=0.6235 | Wμ=1.083 | Aμ=2.697 | Wmax=2.000 | Amax=3.170 |LR=0.002 | t=8.97s
   103 | base=0.498361 | val=0.634683 | acc1=0.8115 | Wμ=1.066 | Aμ=2.620 | Wmax=2.000 | Amax=3.170 |LR=0.002 | t=9.02s
   105 | base=0.543302 | val=1.607207 | acc1=0.5653 | Wμ=1.053 | Aμ=2.524 | Wmax=2.000 | Amax=2.807 |LR=0.002 | t=9.05s
   107 | base=0.585029 | val=1.454710 | acc1=0.5915 | Wμ=1.042 | Aμ=2.404 | Wmax=2.000 | Amax=2.807 |LR=0.002 | t=8.96s
   109 | base=0.679570 | val=1.112406 | acc1=0.6725 | Wμ=1.036 | Aμ=2.293 | Wmax=2.000 | Amax=2.807 |LR=0.002 | t=8.98s
   111 | base=0.561272 | val=0.718060 | acc1=0.7785 | Wμ=1.031 | Aμ=2.237 | Wmax=2.000 | Amax=2.585 |LR=0.002 | t=9.10s
   113 | base=0.641829 | val=2.365199 | acc1=0.4040 | Wμ=1.026 | Aμ=2.159 | Wmax=1.585 | Amax=2.585 |LR=0.002 | t=9.04s
   115 | base=0.647157 | val=0.892593 | acc1=0.7474 | Wμ=1.022 | Aμ=2.049 | Wmax=1.585 | Amax=2.585 |LR=0.002 | t=9.00s
   117 | base=0.631699 | val=0.641652 | acc1=0.7974 | Wμ=1.019 | Aμ=1.947 | Wmax=1.585 | Amax=2.322 |LR=0.002 | t=9.02s
   119 | base=0.769667 | val=0.977745 | acc1=0.7137 | Wμ=1.016 | Aμ=1.863 | Wmax=1.585 | Amax=2.322 |LR=0.002 | t=8.95s
   121 | base=0.795817 | val=0.783549 | acc1=0.7522 | Wμ=1.012 | Aμ=1.823 | Wmax=1.585 | Amax=2.322 |LR=0.002 | t=8.97s
   123 | base=0.871813 | val=0.840237 | acc1=0.7336 | Wμ=1.009 | Aμ=1.778 | Wmax=1.585 | Amax=2.322 |LR=0.002 | t=8.99s
   125 | base=0.793270 | val=1.121313 | acc1=0.6681 | Wμ=1.006 | Aμ=1.750 | Wmax=1.585 | Amax=2.000 |LR=0.002 | t=9.03s
   127 | base=0.824618 | val=1.154635 | acc1=0.6725 | Wμ=1.003 | Aμ=1.632 | Wmax=1.585 | Amax=2.000 |LR=0.002 | t=8.97s
   129 | base=0.824615 | val=0.843479 | acc1=0.7374 | Wμ=1.003 | Aμ=1.546 | Wmax=1.585 | Amax=2.000 |LR=0.002 | t=8.97s
   131 | base=0.894765 | val=4.532799 | acc1=0.2683 | Wμ=1.001 | Aμ=1.509 | Wmax=1.585 | Amax=2.000 |LR=0.002 | t=8.94s
   133 | base=0.803980 | val=2.058070 | acc1=0.4541 | Wμ=1.001 | Aμ=1.483 | Wmax=1.585 | Amax=2.000 |LR=0.002 | t=9.04s
   135 | base=0.995597 | val=0.978811 | acc1=0.7025 | Wμ=1.001 | Aμ=1.464 | Wmax=1.585 | Amax=2.000 |LR=0.002 | t=8.97s
   137 | base=0.881326 | val=0.905355 | acc1=0.7065 | Wμ=1.000 | Aμ=1.450 | Wmax=1.585 | Amax=1.585 |LR=0.002 | t=9.08s
   139 | base=0.947292 | val=0.801660 | acc1=0.7415 | Wμ=0.999 | Aμ=1.443 | Wmax=1.585 | Amax=2.000 |LR=0.002 | t=9.08s
   141 | base=0.920707 | val=0.696903 | acc1=0.7784 | Wμ=0.999 | Aμ=1.417 | Wmax=1.585 | Amax=2.000 |LR=0.002 | t=8.94s
   143 | base=0.948753 | val=1.090975 | acc1=0.6814 | Wμ=0.999 | Aμ=1.364 | Wmax=1.585 | Amax=2.000 |LR=0.002 | t=8.97s
